# Rime user dictionary
#@/db_name	wubi86
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	21342
#@/user_id	4a724b77-b474-4a53-8ab8-27f5bbc0adee
fghy 	雨	c=2 d=1.00122 t=4878
fgi 	坏	c=3 d=1.00009 t=14040
fgit 	干活	c=3 d=1.98022 t=19829
fgkc 	干吗	c=7 d=1 t=18691
fgkw 	干啥	c=6 d=2.76194 t=19070
fgok 	干燥	c=1 d=1 t=8887
fgrg 	士兵	c=2 d=1 t=8841
fgrt 	二手	c=1 d=0.1 t=21316
fguq 	干净	c=2 d=1.99501 t=16409
fgxe 	二级	c=1 d=1 t=20681
fh 	直	c=17 d=2.02669 t=21066
fha 	越	c=9 d=2.08122 t=11044
fhdc 	起码	c=1 d=1 t=10239
fhfp 	超过	c=2 d=1.00015 t=15522
fhgh 	真正	c=3 d=1 t=16024
fhgo 	起来	c=24 d=1.00318 t=20113
fhhi 	起步	c=2 d=1.45384 t=5479
fhjc 	赶紧	c=1 d=1 t=12217
fhn 	起	c=32 d=2.46893 t=20678
fhnn 	赶快	c=3 d=1.00002 t=5008
fhnu 	起飞	c=2 d=1.95123 t=19191
fhq 	赵	c=12 d=1.67054 t=21011
fhqt 	走狗	c=1 d=1 t=7432
fhrq 	真的	c=2 d=0.110281 t=21332
fhrt 	直播	c=1 d=1 t=4923
fhru 	直接	c=36 d=1.05084 t=20946
fhrv 	走势	c=5 d=1.0935 t=18077
fhrv 	趋势	c=5 d=2.63378 t=18153
fhu 	走	c=15 d=2.00809 t=18062
fhv 	超	c=1 d=1 t=16347
fhvb 	真好	c=1 d=0.103183 t=18746
fhvk 	超	c=1 d=1 t=4109
fhw 	真	c=142 d=1.38821 t=21342
fhwn 	真假	c=1 d=1 t=18381
fhys 	起床	c=2 d=1 t=13875
figo 	未来	c=4 d=1 t=12430
fii 	未	c=3 d=2.27768 t=15142
firg 	救兵	c=1 d=1 t=20235
fitd 	未知	c=1 d=1 t=3848
fitg 	求生	c=1 d=1 t=21300
fiy 	求	c=2 d=1.07769 t=21297
fj 	进	c=30 d=1.00112 t=21122
